"servername","dbname","Table","Index_or_Statistics","T-SQL Drop Command"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_1_93]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_1_93] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_1_45_3_81_22_19_18_20_41_2_25]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_1_45_3_81_22_19_18_20_41_2_25] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_22_19_18_20_41_45_3_2_1]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_22_19_18_20_41_45_3_2_1] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_81_19_18_20_41_45_3_2_1]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_81_19_18_20_41_45_3_2_1] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_2_1_45_3_81_22_19_18_20]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_2_1_45_3_81_22_19_18_20] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_1_45_3_81_22_18]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_1_45_3_81_22_18] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_41_1_45_3_81_22_19_18]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_41_1_45_3_81_22_19_18] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_18_1_45_3_81]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_18_1_45_3_81] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_1_45_3_81_22_20_19]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_1_45_3_81_22_20_19] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_19_1_45_3_81]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_19_1_45_3_81] ON [dbo].[incidents];"
"dbuk02","abillity_42712","[dbo].[incidents]","[_dta_stat_418100530_3_1_45_22]","USE abillity_42712; DROP INDEX [_dta_stat_418100530_3_1_45_22] ON [dbo].[incidents];"
